115,2798000,Multi-Family (2-4 Unit),5,3.0,San Francisco,94114,40 - 42 Sanchez St
116,799000,Condo/Co-op,2,1.0,San Francisco,94103,49 Hallam St
117,999000,Condo/Co-op,3,1.5,San Francisco,94110,1659 Dolores St
118,1395000,Condo/Co-op,3,1.0,San Francisco,94115,753 Baker St
119,995000,Single Family Residential,2,1.0,San Francisco,94127,55 Burlwood Dr
120,1500000,Multi-Family (2-4 Unit),3,,San Francisco,94122,4146 - 4150 Moraga St
121,1695000,Condo/Co-op,3,2.0,San Francisco,94105,280 Spear St Unit 7H
122,7600000,Single Family Residential,4,4.5,San Francisco,94115,2331 Jackson St
123,1495000,Condo/Co-op,2,2.0,San Francisco,94114,2750 Market St #203
124,1198000,Condo/Co-op,2,2.0,San Francisco,94107,555 4th St #717
125,4895000,Single Family Residential,4,3.5,San Francisco,94127,990 Monterey Blvd
126,4595000,Condo/Co-op,3,3.0,SAN FRANCISCO,94105,181 Fremont St Unit 60A
127,5895000,Single Family Residential,4,5.0,SAN FRANCISCO,94109,2531 Larkin St
128,2825000,Multi-Family (2-4 Unit),9,,San Francisco,94115,1443 - 1447 Broderick St
129,700000,Townhouse,1,1.0,San Francisco,94105,489 Harrison St #307
130,1895000,Single Family Residential,4,2.5,San Francisco,94121,4824 Fulton St
131,1679000,Condo/Co-op,2,2.0,San Francisco,94105,425 1st St #2306
132,699999,Condo/Co-op,1,1.0,San Francisco,94105,201 Harrison St #300
133,1300000,Condo/Co-op,1,1.0,San Francisco,94109,1101 Green St #1404
134,1299000,Condo/Co-op,1,1.5,San Francisco,94105,318 Main St Unit 3C
135,2750000,Multi-Family (2-4 Unit),,,San Francisco,94132,89 Belle Ave
136,2705000,Condo/Co-op,4,2.5,SAN FRANCISCO,94110,292 Richland Ave
137,499000,Vacant Land,0,,San Francisco,94110,76 Putnam St
138,500000,Condo/Co-op,0,1.0,San Francisco,94109,631 Ofarrell St #502
139,899000,Single Family Residential,2,1.0,San Francisco,94134,33 Sweeny St
140,2750000,Multi-Family (2-4 Unit),5,1.5,San Francisco,94118,172 - 174 4th Ave
141,799000,Condo/Co-op,1,1.0,San Francisco,94109,1200 Gough St Unit 14E
142,515671,Condo/Co-op,2,1.0,San Francisco,94124,2956 Arelious Walker Dr
143,895000,Condo/Co-op,1,1.5,San Francisco,94110,88 Hoff St #206
144,1299000,Condo/Co-op,1,1.0,San Francisco,94102,55 Oak St #211
145,1468000,Condo/Co-op,2,2.0,San Francisco,94102,55 Oak St #805
146,1199000,Condo/Co-op,1,1.0,San Francisco,94102,55 Oak St #301
147,699000,Condo/Co-op,1,1.0,SAN FRANCISCO,94124,52 Innes Ct #308
