SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1328 Greenwich St,San Francisco,CA,94109,1595000,2,2.0,San Francisco,1465,,1886,20,1089,,Active,,,https://www.redfin.com/CA/San-Francisco/1328-Greenwich-St-94109/home/1898445,San Francisco MLS,421611175,N,Y,37.8010305,-122.421668
MLS Listing,,Multi-Family (2-4 Unit),1126 - 1128 Hampshire St,San Francisco,CA,94110,1495000,4,2.0,San Francisco,2130,2696,1903,20,702,,Active,,,https://www.redfin.com/CA/San-Francisco/1126-Hampshire-St-94110/home/2017008,San Francisco MLS,421612151,N,Y,37.7540099,-122.4076744
MLS Listing,,Vacant Land,1056 - 1060 Potrero Ave,San Francisco,CA,94110,2400000,0,,San Francisco,,2500,,20,,,Active,,,https://www.redfin.com/CA/San-Francisco/1056-Potrero-Ave-94110/home/174696192,San Francisco MLS,421612129,N,Y,37.7551993,-122.4068903
MLS Listing,,Townhouse,17 Bowman Ct,San Francisco,CA,94124,453728,2,2.0,San Francisco,1219,880,1992,20,372,65,Active,,,https://www.redfin.com/CA/San-Francisco/17-Bowman-Ct-94124/home/741389,San Francisco MLS,421612127,N,Y,37.7377823,-122.3822452
MLS Listing,,Multi-Family (2-4 Unit),3850 23rd St,San Francisco,CA,94114,3000000,4,3.0,San Francisco,3650,1524,1900,20,822,,Active,,,https://www.redfin.com/CA/San-Francisco/3850-23rd-St-94114/home/174714986,San Francisco MLS,421612095,N,Y,37.7533962,-122.4288565
MLS Listing,,Condo/Co-op,1177 California St #1012,San Francisco,CA,94108,998000,1,1.0,San Francisco,1056,31662,1978,20,945,1384,Active,,,https://www.redfin.com/CA/San-Francisco/1177-California-St-94108/unit-1012/home/1707260,San Francisco MLS,421611985,N,Y,37.7909986,-122.4137649
MLS Listing,,Condo/Co-op,1 Daniel Burnham Ct #206,San Francisco,CA,94109,678000,1,1.0,San Francisco,732,46157,1988,20,926,898,Active,,,https://www.redfin.com/CA/San-Francisco/1-Daniel-Burnham-Ct-94109/unit-206/home/2023474,San Francisco MLS,421611196,N,Y,37.786783,-122.4219061
MLS Listing,,Multi-Family (2-4 Unit),160 - 162 Lexington St,San Francisco,CA,94110,950000,3,,San Francisco,1436,2000,1906,20,662,,Active,,,https://www.redfin.com/CA/San-Francisco/160-Lexington-St-94110/home/710664,San Francisco MLS,421608097,N,Y,37.7607634,-122.4209279
MLS Listing,,Condo/Co-op,690 Market St #1703,San Francisco,CA,94104,1595000,2,2.0,San Francisco,1431,11357,2007,20,1115,3098,Active,,,https://www.redfin.com/CA/San-Francisco/690-Market-St-94104/unit-1703/home/21967220,San Francisco MLS,421607592,N,Y,37.7883046,-122.4032778
MLS Listing,,Multi-Family (5+ Unit),711 Guerrero St,San Francisco,CA,94110,2500000,0,,San Francisco,6000,2247,1907,21,417,,Active,,,https://www.redfin.com/CA/San-Francisco/711-Guerrero-St-94110/home/1446989,San Francisco MLS,421612076,N,Y,37.7596989,-122.4233209
MLS Listing,,Condo/Co-op,1145 Pine St #43,San Francisco,CA,94109,445000,0,1.0,San Francisco,390,5170,1912,21,1141,550,Active,,,https://www.redfin.com/CA/San-Francisco/1145-Pine-St-94109/unit-43/home/2033053,San Francisco MLS,421612011,N,Y,37.7901344,-122.4147638
MLS Listing,,Condo/Co-op,96 Malta Dr,San Francisco,CA,94131,780000,2,2.0,San Francisco,1600,2476,1977,21,488,33,Active,,,https://www.redfin.com/CA/San-Francisco/96-Malta-Dr-94131/home/177187378,San Francisco MLS,421610982,N,Y,37.736548,-122.4436871
MLS Listing,,Multi-Family (2-4 Unit),341 - 343 Lexington St,San Francisco,CA,94110,1850000,2,2.0,San Francisco,2060,1572,1900,22,898,,Active,,,https://www.redfin.com/CA/San-Francisco/341-Lexington-St-94110/home/1335121,San Francisco MLS,421611772,N,Y,37.7578643,-122.4202261
MLS Listing,,Condo/Co-op,20 Hancock St Unit A,San Francisco,CA,94114,1999000,4,3.0,San Francisco,2035,2848,1902,23,982,,Active,,,https://www.redfin.com/CA/San-Francisco/20-Hancock-St-94114/unit-A/home/177177153,San Francisco MLS,421611501,N,Y,37.7606698,-122.4288375
MLS Listing,,Condo/Co-op,960 Market St #214,San Francisco,CA,94102,725000,0,1.0,San Francisco,566,,,23,1281,685,Active,,,https://www.redfin.com/CA/San-Francisco/960-Market-St-94102/unit-214/home/177175256,San Francisco MLS,421611182,N,Y,37.7831239,-122.4095552
MLS Listing,,Condo/Co-op,960 Market St #221,San Francisco,CA,94102,699000,0,1.0,San Francisco,510,,,23,1371,685,Active,,,https://www.redfin.com/CA/San-Francisco/960-Market-St-94102/unit-221/home/177175186,San Francisco MLS,421611181,N,Y,37.7831239,-122.4095552
MLS Listing,,Condo/Co-op,960 Market St #204,San Francisco,CA,94102,499000,0,1.0,San Francisco,339,,,23,1472,598,Active,,,https://www.redfin.com/CA/San-Francisco/960-Market-St-94102/unit-204/home/177175168,San Francisco MLS,421611180,N,Y,37.7831239,-122.4095552
MLS Listing,,Multi-Family (2-4 Unit),15-17 States St,San Francisco,CA,94114,2288888,4,2.0,Corona Hts,2420,2604,1957,23,946,,Active,,,https://www.redfin.com/CA/San-Francisco/15-States-St-94114/home/1316299,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40973676,N,Y,37.7632338,-122.4357673
MLS Listing,,Condo/Co-op,55 Vandewater St #7,San Francisco,CA,94133,849000,1,1.0,San Francisco,732,4541,1981,23,1160,455,Active,,,https://www.redfin.com/CA/San-Francisco/55-Vandewater-St-94133/unit-7/home/1424802,San Francisco MLS,421611589,N,Y,37.8051143,-122.41288
MLS Listing,,Single Family Residential,273 Vienna St,San Francisco,CA,94112,799000,3,1.0,San Francisco,1000,2500,1900,23,799,,Active,,,https://www.redfin.com/CA/San-Francisco/273-Vienna-St-94112/home/1293924,San Francisco MLS,421610742,N,Y,37.723946,-122.4275305
MLS Listing,,Condo/Co-op,2001 Mcallister St #243,San Francisco,CA,94118,795000,1,1.0,San Francisco,686,98109,2002,23,1159,725,Active,,,https://www.redfin.com/CA/San-Francisco/2001-McAllister-St-94118/unit-243/home/12399019,San Francisco MLS,421611617,N,Y,37.776448,-122.4460603
MLS Listing,,Multi-Family (2-4 Unit),832 Florida St,SAN FRANCISCO,CA,94110,980000,4,2.0,SAN FRANCISCO,1920,2596,1900,23,510,,Active,,,https://www.redfin.com/CA/San-Francisco/832-Florida-St-94110/home/729949,MLSListings,ML81870065,N,Y,37.7584984,-122.4108964
MLS Listing,,Condo/Co-op,288 Union St #1,San Francisco,CA,94133,1425000,2,1.5,San Francisco,,1746,1900,23,,,Active,,,https://www.redfin.com/CA/San-Francisco/288-Union-St-94133/unit-1/home/177172944,San Francisco MLS,421611669,N,Y,37.8012732,-122.4039336
MLS Listing,,Single Family Residential,834 30Th Ave,San Francisco,CA,94121,1695000,3,2.5,Central Richmond,,3000,1931,23,,,Active,,,https://www.redfin.com/CA/San-Francisco/834-30th-Ave-94121/home/623525,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40974089,N,Y,37.7735246,-122.4894084
MLS Listing,,Condo/Co-op,635 South Van Ness Ave Unit A,San Francisco,CA,94110,1198000,3,2.0,San Francisco,1483,2940,1912,23,808,180,Active,,,https://www.redfin.com/CA/San-Francisco/635-S-Van-Ness-Ave-94110/unit-A/home/177282128,San Francisco MLS,421606628,N,Y,37.762987,-122.417043
MLS Listing,,Condo/Co-op,637 Powell St #301,San Francisco,CA,94108,1050000,2,1.0,San Francisco,1590,3920,,23,660,869,Active,,,https://www.redfin.com/CA/San-Francisco/637-Powell-St-94108/unit-301/home/177347318,San Francisco MLS,421611643,N,Y,37.790666,-122.4090968
MLS Listing,,Single Family Residential,133 Jules Ave,San Francisco,CA,94112,1295000,6,4.0,San Francisco,2288,2173,1938,23,566,,Active,,,https://www.redfin.com/CA/San-Francisco/133-Jules-Ave-94112/home/2037885,San Francisco MLS,421611077,N,Y,37.7206435,-122.4614745
MLS Listing,,Condo/Co-op,1385 - 1387 Hampshire St Unit 1387B,San Francisco,CA,94110,499000,1,1.0,San Francisco,435,1999,1925,23,1147,250,Active,,,https://www.redfin.com/CA/San-Francisco/1385-Hampshire-St-94110/unit-1387B/home/177170085,San Francisco MLS,421610487,N,Y,37.7502504,-122.4067951
MLS Listing,,Condo/Co-op,200 Brannan St #419,San Francisco,CA,94107,1987888,3,2.0,San Francisco,1787,72899,2004,24,1112,961,Active,December-12-2021 02:00 PM,December-12-2021 04:00 PM,https://www.redfin.com/CA/San-Francisco/200-Brannan-St-94107/unit-419/home/1538030,San Francisco MLS,421605835,N,Y,37.7838833,-122.3906104
MLS Listing,,Condo/Co-op,1385 - 1387 Hampshire St Unit 1387A,San Francisco,CA,94110,459000,1,1.0,San Francisco,579,1999,1925,24,793,250,Active,,,https://www.redfin.com/CA/San-Francisco/1385-Hampshire-St-94110/unit-1387A/home/177168709,San Francisco MLS,421610477,N,Y,37.7502504,-122.4067951
MLS Listing,,Condo/Co-op,567 27th St #3,San Francisco,CA,94131,1695000,3,2.0,San Francisco,1600,2850,1989,24,1059,400,Active,,,https://www.redfin.com/CA/San-Francisco/567-27th-St-94131/unit-3/home/1829398,San Francisco MLS,421611477,N,Y,37.7463462,-122.4327673
MLS Listing,,Single Family Residential,555 33rd Ave,San Francisco,CA,94121,2395000,3,3.0,San Francisco,2526,3000,1914,24,948,,Active,December-7-2021 11:30 AM,December-7-2021 01:00 PM,https://www.redfin.com/CA/San-Francisco/555-33rd-Ave-94121/unit-1/home/1888708,San Francisco MLS,421611082,N,Y,37.778584,-122.4935342
MLS Listing,,Condo/Co-op,250 King St #500,SAN FRANCISCO,CA,94107,1199000,2,2.0,SAN FRANCISCO,1219,213232,2004,24,984,944,Active,,,https://www.redfin.com/CA/San-Francisco/250-King-St-94107/unit-500/home/22889166,MLSListings,ML81863884,N,Y,37.7781222,-122.3932903
MLS Listing,,Multi-Family (2-4 Unit),3877 - 3879 Jackson St,San Francisco,CA,94118,4650000,8,,San Francisco,5160,3463,1910,24,901,,Active,,,https://www.redfin.com/CA/San-Francisco/3877-Jackson-St-94118/home/1562444,San Francisco MLS,421610876,N,Y,37.7891023,-122.4588748
MLS Listing,,Condo/Co-op,1895 Pacific Ave #206,San Francisco,CA,94109,1095000,1,1.0,San Francisco,1165,7202,1931,24,940,626,Active,,,https://www.redfin.com/CA/San-Francisco/1895-Pacific-Ave-94109/unit-206/home/1571780,San Francisco MLS,421610676,N,Y,37.7942091,-122.426335
